word,chinese,type,definition,level,has_image
dosage,劑量,"Health, Medicine & Fitness",the amount of medicine to take at one time,junior,1
pharmacy,藥局,"Health, Medicine & Fitness",a store where medicines are prepared and sold,junior,1
surgeon,外科醫生,"Health, Medicine & Fitness",a doctor who performs operations,junior,1
physician,內科醫生,"Health, Medicine & Fitness",a doctor who treats general illnesses,junior,1
paramedic,緊急醫療人員,"Health, Medicine & Fitness",a person trained to give emergency medical care,junior,1
ambulance,救護車,"Health, Medicine & Fitness",a vehicle that takes sick or injured people to the hospital,junior,1
clinic,診所,"Health, Medicine & Fitness",a small medical center for treating minor health problems,junior,1
ward,病房,"Health, Medicine & Fitness",a large room in a hospital with beds for patients,junior,1
rehabilitation,復健,"Health, Medicine & Fitness",a program of exercises and treatment to recover after illness or injury,junior,1
cardiovascular,心血管的,"Health, Medicine & Fitness",relating to the heart and blood vessels,junior,1
respiratory,呼吸的,"Health, Medicine & Fitness",relating to breathing and the lungs,junior,1
digestive,消化的,"Health, Medicine & Fitness",relating to the breaking down of food in the body,junior,1
stretching,伸展,"Health, Medicine & Fitness",exercises that make muscles longer and more flexible,junior,1
endurance,耐力,"Health, Medicine & Fitness",the ability to keep doing something difficult for a long time,junior,1
stamina,體力,"Health, Medicine & Fitness",the energy and strength to do physical activity for a long time,junior,1
aerobic,有氧的,"Health, Medicine & Fitness",relating to exercise that makes the heart beat faster,junior,1
posture,姿勢,"Health, Medicine & Fitness",the position in which you hold your body while standing or sitting,junior,1
hydrate,補充水分,"Health, Medicine & Fitness",to supply the body with enough water,junior,1
checkup,健康檢查,"Health, Medicine & Fitness",a regular medical examination to make sure you are healthy,junior,1
stethoscope,聽診器,"Health, Medicine & Fitness",a medical tool used to listen to the heart and lungs,junior,1
injection,注射,"Health, Medicine & Fitness",putting medicine into the body using a needle,junior,1
bandage,繃帶,"Health, Medicine & Fitness",a strip of cloth used to wrap and protect a wound,junior,1
ointment,藥膏,"Health, Medicine & Fitness",a cream applied to the skin to heal or protect it,junior,1
lozenge,喉錠,"Health, Medicine & Fitness",a small medicated candy that dissolves in the mouth,junior,1
capsule,膠囊,"Health, Medicine & Fitness",a small container of medicine that you swallow,junior,1
painkiller,止痛藥,"Health, Medicine & Fitness",a medicine that reduces or stops pain,junior,1
side effect,副作用,"Health, Medicine & Fitness",an unwanted reaction caused by taking a medicine,junior,1
first aid,急救,"Health, Medicine & Fitness",basic medical treatment given immediately after an injury,junior,1
CPR,心肺復甦術,"Health, Medicine & Fitness",an emergency procedure to restart breathing and heartbeat,junior,1
X-ray,X光,"Health, Medicine & Fitness",a type of photograph that shows bones inside the body,junior,1
immune system,免疫系統,"Health, Medicine & Fitness",the body's defense network that fights off diseases,junior,1
mental health,心理健康,"Health, Medicine & Fitness",the condition of a person's mind and emotions,junior,1
outbreak,爆發,"Health, Medicine & Fitness",the sudden start of a disease spreading in an area,junior,1
sedentary,久坐不動的,"Health, Medicine & Fitness",spending a lot of time sitting and not exercising,junior,1
anesthesia,麻醉,"Health, Medicine & Fitness",the use of medicine to prevent pain during surgery,junior,1
transplant,移植,"Health, Medicine & Fitness",moving an organ from one body to another,junior,1
epidemic prevention,防疫,"Health, Medicine & Fitness",actions taken to stop a disease from spreading,junior,1
malnutrition,營養不良,"Health, Medicine & Fitness",poor health caused by not eating the right foods,junior,1
recovery,康復,"Health, Medicine & Fitness",the process of becoming healthy again after illness,junior,1
pulse rate,脈搏率,"Health, Medicine & Fitness",the number of heartbeats per minute,junior,1
overweight,過重的,"Health, Medicine & Fitness",weighing more than is considered healthy,junior,1
underweight,過輕的,"Health, Medicine & Fitness",weighing less than is considered healthy,junior,1
obesity rate,肥胖率,"Health, Medicine & Fitness",the percentage of people who are extremely overweight,junior,1
dietary,飲食的,"Health, Medicine & Fitness",relating to the food that a person regularly eats,junior,1
preventive,預防的,"Health, Medicine & Fitness",done to stop illness or problems before they happen,junior,1
accommodation,住宿,Travel & Tourism (Advanced),"a place to stay, such as a hotel or hostel",junior,1
destination,目的地,Travel & Tourism (Advanced),the place where someone is traveling to,junior,1
departure,出發,Travel & Tourism (Advanced),"the act of leaving a place, especially to start a journey",junior,1
customs,海關,Travel & Tourism (Advanced),the government office that checks goods entering a country,junior,1
visa,簽證,Travel & Tourism (Advanced),an official mark in a passport allowing entry to a country,junior,1
souvenir,紀念品,Travel & Tourism (Advanced),something you buy to remember a place you visited,junior,1
reservation,預約,Travel & Tourism (Advanced),"an arrangement to keep something for you, like a hotel room",junior,1
boarding pass,登機證,Travel & Tourism (Advanced),a card that allows you to get on an airplane,junior,1
terminal,航廈,Travel & Tourism (Advanced),a building at an airport where passengers arrive and depart,junior,1
layover,中途停留,Travel & Tourism (Advanced),a stop between flights during a journey,junior,1
excursion,短途旅行,Travel & Tourism (Advanced),a short trip taken for pleasure,junior,1
cruise,郵輪旅行,Travel & Tourism (Advanced),a vacation spent traveling on a large ship,junior,1
backpacking,背包旅行,Travel & Tourism (Advanced),traveling cheaply with belongings in a backpack,junior,1
hostel,青年旅館,Travel & Tourism (Advanced),"a low-cost place to stay, often with shared rooms",junior,1
resort,度假村,Travel & Tourism (Advanced),a place people visit for relaxation and fun,junior,1
scenic,風景優美的,Travel & Tourism (Advanced),having beautiful natural views,junior,1
sightseeing,觀光,Travel & Tourism (Advanced),the activity of visiting interesting places as a tourist,junior,1
landmark,地標,Travel & Tourism (Advanced),a famous building or place that is easy to recognize,junior,1
expedition,探險,Travel & Tourism (Advanced),"a long, organized journey for a special purpose",junior,1
voyage,航行,Travel & Tourism (Advanced),"a long journey, especially by sea or through space",junior,1
pilgrimage,朝聖,Travel & Tourism (Advanced),a journey to a holy or important place,junior,1
jet lag,時差,Travel & Tourism (Advanced),tiredness caused by traveling across different time zones,junior,1
passport control,護照查驗,Travel & Tourism (Advanced),the place at a border where officials check passports,junior,1
duty-free,免稅的,Travel & Tourism (Advanced),"goods sold without tax, usually at airports",junior,1
round trip,來回旅程,Travel & Tourism (Advanced),a journey to a place and back again,junior,1
one-way,單程的,Travel & Tourism (Advanced),traveling in one direction only,junior,1
check-in,報到,Travel & Tourism (Advanced),the process of registering at a hotel or airport,junior,1
check-out,退房,Travel & Tourism (Advanced),the process of leaving and paying at a hotel,junior,1
luggage,行李,Travel & Tourism (Advanced),bags and suitcases you take when traveling,junior,1
baggage claim,行李提領處,Travel & Tourism (Advanced),the area where you pick up luggage after a flight,junior,1
itinerary planner,行程規劃者,Travel & Tourism (Advanced),a person or tool that helps organize travel plans,junior,1
tour guide,導遊,Travel & Tourism (Advanced),a person who leads tourists and explains interesting places,junior,1
travel agency,旅行社,Travel & Tourism (Advanced),a company that arranges trips and vacations for people,junior,1
travel insurance,旅遊保險,Travel & Tourism (Advanced),a plan that covers costs if problems occur during a trip,junior,1
brochure,旅遊手冊,Travel & Tourism (Advanced),a small booklet with pictures and information about a place,junior,1
embassy,大使館,Travel & Tourism (Advanced),the official building where a country's representatives work abroad,junior,1
exchange rate,匯率,Travel & Tourism (Advanced),the value of one country's money compared to another's,junior,1
local cuisine,當地美食,Travel & Tourism (Advanced),the traditional food of a particular region,junior,1
souvenir shop,紀念品店,Travel & Tourism (Advanced),a store that sells items to remind you of a place,junior,1
delayed,延誤的,Travel & Tourism (Advanced),not happening at the expected time; late,junior,1
canceled,取消的,Travel & Tourism (Advanced),called off; no longer happening,junior,1
overbooked,超額預訂的,Travel & Tourism (Advanced),having sold more seats or rooms than are available,junior,1
turbulence,亂流,Travel & Tourism (Advanced),"rough, unstable air that causes an airplane to shake",junior,1
aisle,走道,Travel & Tourism (Advanced),the narrow passage between seats on a plane or in a theater,junior,1
cabin,機艙,Travel & Tourism (Advanced),the area inside an airplane where passengers sit,junior,1
proclaim,宣告,Travel & Tourism (Advanced),to officially announce something to the public,junior,1
customs inspection,海關檢查,Travel & Tourism (Advanced),the examination of luggage and goods at a border,junior,1
international,國際的,Travel & Tourism (Advanced),involving two or more countries,junior,1
departure lounge,候機室,Travel & Tourism (Advanced),the waiting area at an airport before boarding,junior,1
connecting flight,轉機航班,Travel & Tourism (Advanced),a second flight that continues your journey,junior,1
altitude sickness,高山症,Travel & Tourism (Advanced),illness caused by being at very high elevations,junior,1
navigator,領航員,Travel & Tourism (Advanced),a person who plans the route for a journey,junior,1
compass,指南針,Travel & Tourism (Advanced),a device that shows direction using a magnetic needle,junior,1
atlas,地圖集,Travel & Tourism (Advanced),a book of maps,junior,1
trek,長途跋涉,Travel & Tourism (Advanced),"a long, difficult walk through rough areas",junior,1
lodge,小屋旅館,Travel & Tourism (Advanced),a small house or hotel in the countryside or mountains,junior,1
campsite,露營地,Travel & Tourism (Advanced),an area where people can set up tents,junior,1
caravan,旅行拖車,Travel & Tourism (Advanced),a vehicle that can be towed and used as a place to sleep,junior,1
ferry,渡輪,Travel & Tourism (Advanced),a boat that carries people and vehicles across water,junior,1
harbor,港口,Travel & Tourism (Advanced),a sheltered area of water where ships can anchor,junior,1
pier,碼頭,Travel & Tourism (Advanced),a platform extending into water where boats can dock,junior,1
voyage log,航行日誌,Travel & Tourism (Advanced),a written record of events during a journey,junior,1
travel document,旅行文件,Travel & Tourism (Advanced),"official papers needed for traveling, such as passports",junior,1
time zone,時區,Travel & Tourism (Advanced),one of the regions of the world with its own standard time,junior,1
locale,地點,Travel & Tourism (Advanced),"a place where something happens, especially one with a special character",junior,1
off-season,淡季,Travel & Tourism (Advanced),a time of year when fewer tourists visit a place,junior,1
peak season,旺季,Travel & Tourism (Advanced),the busiest time of year for tourism,junior,1
hospitality,好客,Travel & Tourism (Advanced),the friendly and generous treatment of guests,junior,1
interpreter,口譯員,Travel & Tourism (Advanced),a person who translates spoken words between languages,junior,1
phrase book,常用語手冊,Travel & Tourism (Advanced),a small book with useful phrases in a foreign language,junior,1
vaccination certificate,疫苗接種證明,Travel & Tourism (Advanced),a document proving you have received required vaccines,junior,1
customs declaration,海關申報,Travel & Tourism (Advanced),a form listing goods you bring into a country,junior,1
transit visa,過境簽證,Travel & Tourism (Advanced),a document allowing brief passage through a country,junior,1
embark,登船；上機,Travel & Tourism (Advanced),"to get on a ship, plane, or other vehicle to begin a journey",junior,1
disembark,下船；下機,Travel & Tourism (Advanced),"to get off a ship, plane, or other vehicle",junior,1
wander,漫遊,Travel & Tourism (Advanced),to walk around without a fixed plan or direction,junior,1
roam,漫步,Travel & Tourism (Advanced),to move about freely without a set destination,junior,1
navigate,導航,Travel & Tourism (Advanced),to find the way to a place using maps or instruments,junior,1
stopover,中途停靠,Travel & Tourism (Advanced),a brief stay at a place during a long journey,junior,1
complimentary,免費贈送的,Travel & Tourism (Advanced),"given free of charge, often as a courtesy",junior,1
concierge,禮賓人員,Travel & Tourism (Advanced),a hotel worker who helps guests with travel plans and bookings,junior,1
amenity,設施,Travel & Tourism (Advanced),"a useful or pleasant feature of a place, such as a pool or gym",junior,1
vacancy,空房,Travel & Tourism (Advanced),an available room in a hotel,junior,1
suite,套房,Travel & Tourism (Advanced),a set of connected rooms in a hotel,junior,1
continental breakfast,歐式早餐,Travel & Tourism (Advanced),"a light morning meal of bread, juice, and coffee",junior,1
gratuity,小費,Travel & Tourism (Advanced),an extra amount of money given to thank someone for service,junior,1
guidebook,旅遊指南,Travel & Tourism (Advanced),a book with information for travelers about a place,junior,1
panorama,全景,Travel & Tourism (Advanced),"a wide, unblocked view of a large area",junior,1
postcard,明信片,Travel & Tourism (Advanced),"a card with a picture on one side, sent by mail without an envelope",junior,1
globe-trotting,環球旅行,Travel & Tourism (Advanced),traveling to many countries around the world,junior,1
anxiety,焦慮,Emotions & Psychology (Advanced),a feeling of worry and unease about something,junior,0
confidence,自信,Emotions & Psychology (Advanced),the belief in your own abilities,junior,0
depression,憂鬱症,Emotions & Psychology (Advanced),a mental condition of deep sadness that lasts a long time,junior,0
frustrate,使沮喪,Emotions & Psychology (Advanced),to make someone feel upset because they cannot do something,junior,0
gratitude,感恩,Emotions & Psychology (Advanced),the feeling of being thankful and appreciative,junior,0
motivation,動機,Emotions & Psychology (Advanced),the reason or desire that makes you want to do something,junior,0
optimistic,樂觀的,Emotions & Psychology (Advanced),believing that good things will happen,junior,0
pessimistic,悲觀的,Emotions & Psychology (Advanced),believing that bad things will happen,junior,0
compassion,慈悲,Emotions & Psychology (Advanced),a deep feeling of caring and wanting to help someone in need,junior,0
resentment,怨恨,Emotions & Psychology (Advanced),bitter anger felt because of unfair treatment,junior,0
envy,羨慕,Emotions & Psychology (Advanced),the wish to have something that someone else has,junior,0
nostalgia,懷舊,Emotions & Psychology (Advanced),"a warm, sad feeling when remembering happy times in the past",junior,0
grief,悲傷,Emotions & Psychology (Advanced),"deep sadness, especially after someone dies",junior,0
relief,解脫,Emotions & Psychology (Advanced),the feeling of happiness after worry or pain ends,junior,0
enthusiasm,熱忱,Emotions & Psychology (Advanced),strong excitement and interest in something,junior,0
despair,絕望,Emotions & Psychology (Advanced),the complete loss of hope,junior,0
guilt,罪惡感,Emotions & Psychology (Advanced),the bad feeling you have after doing something wrong,junior,0
shame,羞恥,Emotions & Psychology (Advanced),a painful feeling caused by knowing you did something wrong,junior,0
humiliation,屈辱,Emotions & Psychology (Advanced),the feeling of being deeply embarrassed in front of others,junior,0
insecurity,不安全感,Emotions & Psychology (Advanced),a lack of confidence; feeling uncertain about yourself,junior,0
self-esteem,自尊,Emotions & Psychology (Advanced),how much you value and respect yourself,junior,0
self-awareness,自我覺察,Emotions & Psychology (Advanced),"understanding your own feelings, thoughts, and behavior",junior,0
temperament,性情,Emotions & Psychology (Advanced),a person's natural way of thinking and reacting,junior,0
personality,個性,Emotions & Psychology (Advanced),the qualities that make a person unique,junior,0
introvert,內向者,Emotions & Psychology (Advanced),a person who prefers quiet time alone rather than socializing,junior,0
extrovert,外向者,Emotions & Psychology (Advanced),a person who enjoys being with other people,junior,0
conscience,良心,Emotions & Psychology (Advanced),the inner sense that tells you what is right and wrong,junior,0
impulse,衝動,Emotions & Psychology (Advanced),a sudden strong desire to act without thinking,junior,0
mood,情緒,Emotions & Psychology (Advanced),the way you feel at a particular time,junior,0
sentiment,感情,Emotions & Psychology (Advanced),a gentle feeling or opinion about something,junior,0
affection,喜愛,Emotions & Psychology (Advanced),a gentle feeling of fondness or love,junior,0
hostility,敵意,Emotions & Psychology (Advanced),unfriendly or aggressive feelings toward someone,junior,0
indifference,冷漠,Emotions & Psychology (Advanced),a lack of interest or concern about something,junior,0
contentment,滿足,Emotions & Psychology (Advanced),a state of peaceful happiness and satisfaction,junior,0
panic,恐慌,Emotions & Psychology (Advanced),"sudden, strong fear that makes it hard to think clearly",junior,0
trauma,創傷,Emotions & Psychology (Advanced),a deeply upsetting experience that causes lasting harm,junior,0
phobia,恐懼症,Emotions & Psychology (Advanced),"an extreme, unreasonable fear of something",junior,0
obsession,執念,Emotions & Psychology (Advanced),a thought or idea that you cannot stop thinking about,junior,0
attachment,依附,Emotions & Psychology (Advanced),a strong emotional connection to someone or something,junior,0
resilience,韌性,Emotions & Psychology (Advanced),the ability to recover quickly from difficulties,junior,0
meditation,冥想,Emotions & Psychology (Advanced),the practice of calming the mind through focused thought,junior,0
stress,壓力,Emotions & Psychology (Advanced),mental tension caused by demanding situations,junior,0
cope,應對,Emotions & Psychology (Advanced),to deal with a difficult situation successfully,junior,0
suppress,壓抑,Emotions & Psychology (Advanced),to hold back feelings and prevent them from showing,junior,0
inspire,啟發,Emotions & Psychology (Advanced),to fill someone with the desire to do something,junior,0
admiration,欽佩,Emotions & Psychology (Advanced),a feeling of great respect and approval,junior,0
contempt,蔑視,Emotions & Psychology (Advanced),a feeling that someone or something is not worthy of respect,junior,0
disgust,厭惡,Emotions & Psychology (Advanced),a strong feeling of dislike or disapproval,junior,0
anticipation,期待,Emotions & Psychology (Advanced),the excited feeling of looking forward to something,junior,0
regret,後悔,Emotions & Psychology (Advanced),a sad feeling about something you wish you had not done,junior,0
longing,渴望,Emotions & Psychology (Advanced),a deep wish for something you do not have,junior,0
satisfaction,滿意,Emotions & Psychology (Advanced),the good feeling you get when a need or wish is fulfilled,junior,0
boredom,厭倦,Emotions & Psychology (Advanced),the state of feeling uninterested and restless,junior,0
restless,不安的,Emotions & Psychology (Advanced),unable to relax or stay still,junior,0
sentimental,多愁善感的,Emotions & Psychology (Advanced),"easily affected by feelings, especially tender ones",junior,0
moody,喜怒無常的,Emotions & Psychology (Advanced),having feelings that change quickly and often,junior,0
defensive,防衛的,Emotions & Psychology (Advanced),protecting yourself from criticism or attack,junior,0
vulnerable,脆弱的,Emotions & Psychology (Advanced),easily hurt emotionally or physically,junior,0
assertive,果斷的,Emotions & Psychology (Advanced),expressing opinions and desires clearly and confidently,junior,0
passive,被動的,Emotions & Psychology (Advanced),accepting what happens without trying to change it,junior,0
aggressive,侵略性的,Emotions & Psychology (Advanced),acting in a forceful or hostile way,junior,0
ambitious,有企圖心的,Emotions & Psychology (Advanced),having a strong desire to succeed,junior,0
determined,堅定的,Emotions & Psychology (Advanced),having made a firm decision and refusing to give up,junior,0
courageous,英勇的,Emotions & Psychology (Advanced),willing to face danger or difficulty without fear,junior,0
arrogant,傲慢的,Emotions & Psychology (Advanced),believing you are better or more important than others,junior,0
rational,理性的,Emotions & Psychology (Advanced),based on logic and reason rather than emotions,junior,0
irrational,不理性的,Emotions & Psychology (Advanced),not based on logic; unreasonable,junior,0
perception,感知,Emotions & Psychology (Advanced),the way you understand or interpret something,junior,0
subconscious,潛意識的,Emotions & Psychology (Advanced),relating to thoughts and feelings you are not fully aware of,junior,0
instinct,本能,Emotions & Psychology (Advanced),a natural tendency to behave in a certain way,junior,0
intuition,直覺,Emotions & Psychology (Advanced),a feeling of knowing something without being taught,junior,0
peer pressure,同儕壓力,Emotions & Psychology (Advanced),the influence from people your age to behave a certain way,junior,0
perseverance,毅力,Emotions & Psychology (Advanced),the quality of continuing to try even when things are hard,junior,0
stereotype,刻板印象,Emotions & Psychology (Advanced),an oversimplified idea about a type of person,junior,0
identity,認同,Emotions & Psychology (Advanced),who a person is; the qualities that make someone unique,junior,0
self-confidence,自信心,Emotions & Psychology (Advanced),trust in your own abilities and judgment,junior,0
emotional intelligence,情緒智商,Emotions & Psychology (Advanced),the ability to understand and manage your own and others' emotions,junior,0
burnout,職業倦怠,Emotions & Psychology (Advanced),extreme exhaustion caused by too much work or stress,junior,0
gratification,滿足感,Emotions & Psychology (Advanced),the pleasure felt when a desire is fulfilled,junior,0
melancholy,憂鬱,Emotions & Psychology (Advanced),"a deep, quiet feeling of sadness",junior,0
euphoria,欣快感,Emotions & Psychology (Advanced),an intense feeling of happiness and excitement,junior,0
apathy,冷漠,Emotions & Psychology (Advanced),"a complete lack of interest, emotion, or concern",junior,0
dilemma,兩難,Emotions & Psychology (Advanced),a situation where you must choose between two difficult options,junior,0
cognitive,認知的,Emotions & Psychology (Advanced),"relating to thinking, understanding, and learning",junior,0
behavioral,行為的,Emotions & Psychology (Advanced),relating to the way a person acts,junior,0
therapy session,治療療程,Emotions & Psychology (Advanced),a scheduled meeting with a counselor for mental health support,junior,0
well-adjusted,適應良好的,Emotions & Psychology (Advanced),able to deal with people and situations in a healthy way,junior,0
abandon,拋棄,Intermediate Verbs & Expressions,to leave behind completely and not return,junior,0
absorb,吸收,Intermediate Verbs & Expressions,"to take in a liquid, knowledge, or information",junior,0
accompany,陪伴,Intermediate Verbs & Expressions,to go somewhere together with someone,junior,0
accuse,指控,Intermediate Verbs & Expressions,to say that someone has done something wrong,junior,0
acquire,獲得,Intermediate Verbs & Expressions,to get or gain something over time,junior,0
adapt,適應,Intermediate Verbs & Expressions,to change yourself to fit a new situation,junior,0
adjust,調整,Intermediate Verbs & Expressions,to make small changes so something works better,junior,0
admire,欽佩,Intermediate Verbs & Expressions,to look at someone or something with respect and approval,junior,0
adopt,採用；收養,Intermediate Verbs & Expressions,to take something as your own; to legally take a child into your family,junior,0
anticipate,預期,Intermediate Verbs & Expressions,to expect something and prepare for it,junior,0
associate,聯想,Intermediate Verbs & Expressions,to connect one thing with another in your mind,junior,0
assume,假設,Intermediate Verbs & Expressions,to believe something is true without proof,junior,0
attach,附上,Intermediate Verbs & Expressions,to fasten or join one thing to another,junior,0
attempt,嘗試,Intermediate Verbs & Expressions,"to try to do something, especially something difficult",junior,0
attract,吸引,Intermediate Verbs & Expressions,to draw attention or interest toward something,junior,0
avoid,避免,Intermediate Verbs & Expressions,to stay away from something or someone,junior,0
bargain,討價還價,Intermediate Verbs & Expressions,to negotiate a lower price for something,junior,0
behave,表現,Intermediate Verbs & Expressions,to act in a particular way,junior,0
benefit,受益,Intermediate Verbs & Expressions,to gain an advantage or something good from a situation,junior,0
blame,責怪,Intermediate Verbs & Expressions,to say someone is responsible for something bad,junior,0
block,阻擋,Intermediate Verbs & Expressions,to stop something from moving or progressing,junior,0
boost,促進,Intermediate Verbs & Expressions,to increase or improve something,junior,0
bother,打擾,Intermediate Verbs & Expressions,to annoy or disturb someone,junior,0
burden,負擔,Intermediate Verbs & Expressions,something heavy or difficult to carry or deal with,junior,0
capture,捕捉,Intermediate Verbs & Expressions,to catch and hold someone or something,junior,0
challenge,挑戰,Intermediate Verbs & Expressions,to test someone's ability; a difficult task,junior,0
collapse,倒塌,Intermediate Verbs & Expressions,to fall down or break apart suddenly,junior,0
commit,承諾；犯下,Intermediate Verbs & Expressions,to promise to do something; to carry out an act,junior,0
compete,競爭,Intermediate Verbs & Expressions,to try to win against others,junior,0
concern,使擔憂,Intermediate Verbs & Expressions,to make someone feel worried,junior,0
conclude,總結,Intermediate Verbs & Expressions,to bring to an end; to form a final opinion,junior,0
conduct,進行,Intermediate Verbs & Expressions,to organize and carry out an activity,junior,0
confirm,確認,Intermediate Verbs & Expressions,to prove that something is true or correct,junior,0
confuse,使困惑,Intermediate Verbs & Expressions,to make someone unable to understand clearly,junior,0
conquer,征服,Intermediate Verbs & Expressions,to defeat and take control of a place or people,junior,0
consist,由…組成,Intermediate Verbs & Expressions,to be made up of certain parts,junior,0
construct,建構,Intermediate Verbs & Expressions,to build or put something together,junior,0
consult,諮詢,Intermediate Verbs & Expressions,to ask an expert for advice or information,junior,0
consume,消耗,Intermediate Verbs & Expressions,to use up resources; to eat or drink something,junior,0
contain,包含,Intermediate Verbs & Expressions,to have something inside; to hold within,junior,0
convert,轉換,Intermediate Verbs & Expressions,to change from one form or purpose to another,junior,0
deceive,欺騙,Intermediate Verbs & Expressions,to make someone believe something that is not true,junior,0
declare,宣布,Intermediate Verbs & Expressions,to state something officially or publicly,junior,0
decline,下降；婉拒,Intermediate Verbs & Expressions,to become less; to politely refuse,junior,0
decrease,減少,Intermediate Verbs & Expressions,"to become smaller in size, amount, or number",junior,0
defeat,擊敗,Intermediate Verbs & Expressions,to win a victory over someone in a contest or battle,junior,0
define,定義,Intermediate Verbs & Expressions,to explain the exact meaning of a word or idea,junior,0
delay,延遲,Intermediate Verbs & Expressions,to make something happen later than planned,junior,0
dispatch,派遣,Intermediate Verbs & Expressions,to send someone or something to a place for a purpose,junior,0
demand,要求,Intermediate Verbs & Expressions,to ask for something firmly and strongly,junior,0
deny,否認,Intermediate Verbs & Expressions,to say that something is not true,junior,0
deserve,值得,Intermediate Verbs & Expressions,"to be worthy of something, good or bad",junior,0
desire,渴望,Intermediate Verbs & Expressions,to want something very much,junior,0
detect,偵測,Intermediate Verbs & Expressions,to discover or notice something that is not obvious,junior,0
determine,決定,Intermediate Verbs & Expressions,to find out the facts; to make a firm decision,junior,0
devote,奉獻,Intermediate Verbs & Expressions,to give your time and energy to something,junior,0
distinguish,區分,Intermediate Verbs & Expressions,to recognize the difference between two things,junior,0
distribute,分配,Intermediate Verbs & Expressions,to give out or spread something among a group,junior,0
disturb,打擾,Intermediate Verbs & Expressions,to interrupt someone or break their peace,junior,0
doubt,懷疑,Intermediate Verbs & Expressions,to feel uncertain or unsure about something,junior,0
drag,拖曳,Intermediate Verbs & Expressions,to pull something along the ground,junior,0
ease,減輕,Intermediate Verbs & Expressions,to make something less painful or difficult,junior,0
educate,教育,Intermediate Verbs & Expressions,to teach and give knowledge to someone,junior,0
eliminate,消除,Intermediate Verbs & Expressions,to remove or get rid of something completely,junior,0
emerge,出現,Intermediate Verbs & Expressions,to come out from a hidden place or become known,junior,0
emphasize,強調,Intermediate Verbs & Expressions,to give special importance to something,junior,0
enable,使能夠,Intermediate Verbs & Expressions,to make it possible for someone to do something,junior,0
encounter,遭遇,Intermediate Verbs & Expressions,to meet someone or come across something unexpectedly,junior,0
endure,忍受,Intermediate Verbs & Expressions,to suffer through something difficult without giving up,junior,0
enforce,執行,Intermediate Verbs & Expressions,to make sure people follow a law or rule,junior,0
engage,參與,Intermediate Verbs & Expressions,to take part in an activity; to attract interest,junior,0
enhance,增強,Intermediate Verbs & Expressions,to improve the quality or value of something,junior,0
ensure,確保,Intermediate Verbs & Expressions,to make certain that something happens,junior,0
establish,建立,Intermediate Verbs & Expressions,to set up or create something that is meant to last,junior,0
evolve,演化,Intermediate Verbs & Expressions,to develop gradually over time,junior,0
examine,檢查,Intermediate Verbs & Expressions,to look at something closely and carefully,junior,0
exceed,超過,Intermediate Verbs & Expressions,to go beyond a limit or amount,junior,0
execute,執行,Intermediate Verbs & Expressions,to carry out a plan or action,junior,0
expand,擴展,Intermediate Verbs & Expressions,to become larger or to make something larger,junior,0
exploit,利用,Intermediate Verbs & Expressions,to use something or someone unfairly for your own benefit,junior,0
expose,暴露,Intermediate Verbs & Expressions,to make something hidden become visible or known,junior,0
extend,延伸,Intermediate Verbs & Expressions,to make something longer or larger,junior,0
extract,提取,Intermediate Verbs & Expressions,to remove or pull something out,junior,0
forbid,禁止,Intermediate Verbs & Expressions,to order someone not to do something,junior,0
fulfill,實現,Intermediate Verbs & Expressions,to carry out or achieve what was promised or expected,junior,0
generate,產生,Intermediate Verbs & Expressions,to produce or create something,junior,0
grasp,掌握,Intermediate Verbs & Expressions,to hold firmly; to understand an idea completely,junior,0
bandwidth,頻寬,Technology & Digital Life,the amount of data that can be sent through an internet connection at one time,junior,1
browser,瀏覽器,Technology & Digital Life,a program used to view websites on the internet,junior,1
cybersecurity,網路安全,Technology & Digital Life,the practice of protecting computers and networks from attacks,junior,1
database,資料庫,Technology & Digital Life,an organized collection of information stored on a computer,junior,1
encrypt,加密,Technology & Digital Life,to convert data into a secret code so others cannot read it,junior,1
firewall,防火牆,Technology & Digital Life,a security system that controls what enters or leaves a computer network,junior,1
hardware,硬體,Technology & Digital Life,"the physical parts of a computer, such as the screen and keyboard",junior,1
interface,介面,Technology & Digital Life,the part of a program or device that a user sees and interacts with,junior,1
software,軟體,Technology & Digital Life,programs and applications that run on a computer,junior,1
pixel,像素,Technology & Digital Life,a tiny dot on a screen that combines with others to form an image,junior,1
server,伺服器,Technology & Digital Life,a powerful computer that stores data and provides services to other computers,junior,1
upload,上傳,Technology & Digital Life,to send a file from your device to the internet or another computer,junior,1
bookmark,書籤,Technology & Digital Life,a saved link to a website so you can find it again quickly,junior,1
cursor,游標,Technology & Digital Life,the small arrow or blinking line on a screen that shows your position,junior,1
debug,除錯,Technology & Digital Life,to find and fix errors in a computer program,junior,1
desktop,桌面,Technology & Digital Life,the main screen of a computer where icons and files are displayed,junior,1
digital,數位的,Technology & Digital Life,relating to technology that uses electronic data,junior,1
domain,網域,Technology & Digital Life,the name that identifies a website on the internet,junior,1
backup,備份,Technology & Digital Life,a copy of data saved in case the original is lost,junior,1
bluetooth,藍牙,Technology & Digital Life,a wireless technology for connecting devices over short distances,junior,1
cache,快取,Technology & Digital Life,temporary data stored to help a computer load things faster,junior,1
code,程式碼,Technology & Digital Life,instructions written in a programming language for a computer to follow,junior,1
compatible,相容的,Technology & Digital Life,able to work together with another device or program,junior,1
